,corr_method,dice_coeff,sample_size
0,holm_bonferroni,0.0,20
1,holm_bonferroni,0.23076923076923078,20
2,holm_bonferroni,0.17391304347826086,20
3,holm_bonferroni,0.09090909090909091,20
4,holm_bonferroni,0.1,20
5,holm_bonferroni,0.0,20
6,holm_bonferroni,0.5161290322580645,20
7,holm_bonferroni,0.5517241379310345,20
8,holm_bonferroni,0.0,20
9,holm_bonferroni,0.0,20
10,holm_bonferroni,0.0,20
11,holm_bonferroni,0.0,20
12,holm_bonferroni,0.0,20
13,holm_bonferroni,0.0,20
14,holm_bonferroni,0.0,20
15,holm_bonferroni,0.18181818181818182,20
16,holm_bonferroni,0.0,20
17,holm_bonferroni,0.0,20
18,holm_bonferroni,0.0,20
19,holm_bonferroni,0.42105263157894735,20
20,holm_bonferroni,0.11764705882352941,20
21,holm_bonferroni,0.2857142857142857,20
22,holm_bonferroni,0.0,20
23,holm_bonferroni,0.0,20
24,holm_bonferroni,0.125,20
25,holm_bonferroni,0.14285714285714285,20
26,holm_bonferroni,0.0,20
27,holm_bonferroni,0.0,20
28,holm_bonferroni,0.0,20
29,holm_bonferroni,0.0,20
30,holm_bonferroni,0.0,20
31,holm_bonferroni,0.15384615384615385,20
32,holm_bonferroni,0.0,20
33,holm_bonferroni,0.0,20
34,holm_bonferroni,0.0,20
35,holm_bonferroni,0.36363636363636365,20
36,holm_bonferroni,0.0,20
37,holm_bonferroni,0.0,20
38,holm_bonferroni,0.2222222222222222,20
39,holm_bonferroni,0.0,20
40,holm_bonferroni,0.18181818181818182,20
41,holm_bonferroni,0.5,20
42,holm_bonferroni,0.18181818181818182,20
43,holm_bonferroni,0.0,20
44,holm_bonferroni,0.0,20
45,holm_bonferroni,0.0,20
46,holm_bonferroni,0.0,20
47,holm_bonferroni,0.0,20
48,holm_bonferroni,0.0,20
49,holm_bonferroni,0.0,20
50,holm_bonferroni,0.0,20
51,holm_bonferroni,0.1,20
52,holm_bonferroni,0.0,20
53,holm_bonferroni,0.0,20
54,holm_bonferroni,0.0,20
55,holm_bonferroni,0.0,20
56,holm_bonferroni,0.0,20
57,holm_bonferroni,0.0,20
58,holm_bonferroni,0.0,20
59,holm_bonferroni,0.2608695652173913,20
60,holm_bonferroni,0.09090909090909091,20
61,holm_bonferroni,0.0,20
62,holm_bonferroni,0.0,20
63,holm_bonferroni,0.0,20
64,holm_bonferroni,0.0,20
