,index,dice,fdr,power,count,sample_size
0,sign_holm_bonferroni,0.0,0.0,0.0,0,20
1,sign_sidak,0.0,0.0,0.0,0,20
2,sign_bonferroni,0.0,0.0,0.0,0,20
3,sign_lsu,0.0,0.0,0.0,0,20
4,sign_uncorr_0.01,0.2533081285444234,0.22093023255813954,0.15124153498871332,86,20
5,sign_uncorr_0.05,0.550354609929078,0.2595419847328244,0.43792325056433407,262,20
6,sign_eff_0.05,0.5555555555555556,0.2779783393501805,0.45146726862302483,277,20
7,sign_eff_0.1,0.4880239520958084,0.27555555555555555,0.36794582392776526,225,20
8,sign_eff_0.15,0.4219001610305958,0.2640449438202247,0.29571106094808125,178,20
9,sign_holm_bonferroni,0.022321428571428572,0.0,0.011286681715575621,5,20
10,sign_sidak,0.026726057906458798,0.0,0.013544018058690745,6,20
11,sign_bonferroni,0.022321428571428572,0.0,0.011286681715575621,5,20
12,sign_lsu,0.2713178294573643,0.0410958904109589,0.1580135440180587,73,20
13,sign_uncorr_0.01,0.37545126353790614,0.06306306306306306,0.23476297968397292,111,20
14,sign_uncorr_0.05,0.5710059171597633,0.17167381974248927,0.435665914221219,233,20
15,sign_eff_0.05,0.5756240822320118,0.17647058823529413,0.44243792325056436,238,20
16,sign_eff_0.1,0.5302325581395348,0.15346534653465346,0.3860045146726862,202,20
17,sign_eff_0.15,0.4934640522875817,0.10650887573964497,0.34085778781038373,169,20
18,sign_holm_bonferroni,0.013452914798206279,0.0,0.006772009029345372,3,20
19,sign_sidak,0.013452914798206279,0.0,0.006772009029345372,3,20
20,sign_bonferroni,0.013452914798206279,0.0,0.006772009029345372,3,20
21,sign_lsu,0.05701754385964912,0.0,0.029345372460496615,13,20
22,sign_uncorr_0.01,0.2948960302457467,0.09302325581395349,0.17607223476297967,86,20
23,sign_uncorr_0.05,0.514018691588785,0.1708542713567839,0.3724604966139955,199,20
24,sign_eff_0.05,0.5221374045801527,0.19339622641509435,0.3860045146726862,212,20
25,sign_eff_0.1,0.4772727272727273,0.15028901734104047,0.33182844243792325,173,20
26,sign_eff_0.15,0.41852487135506006,0.12857142857142856,0.27539503386004516,140,20
27,sign_holm_bonferroni,0.022321428571428572,0.0,0.011286681715575621,5,20
28,sign_sidak,0.022321428571428572,0.0,0.011286681715575621,5,20
29,sign_bonferroni,0.022321428571428572,0.0,0.011286681715575621,5,20
30,sign_lsu,0.10278372591006424,0.0,0.05417607223476298,24,20
31,sign_uncorr_0.01,0.3290203327171904,0.09183673469387756,0.20090293453724606,98,20
32,sign_uncorr_0.05,0.5903954802259888,0.21132075471698114,0.4717832957110609,265,20
33,sign_eff_0.05,0.5994475138121547,0.2277580071174377,0.4898419864559819,281,20
34,sign_eff_0.1,0.5476190476190477,0.1965065502183406,0.4153498871331828,229,20
35,sign_eff_0.15,0.4774193548387097,0.1638418079096045,0.3340857787810384,177,20
36,sign_holm_bonferroni,0.022321428571428572,0.0,0.011286681715575621,5,20
37,sign_sidak,0.026726057906458798,0.0,0.013544018058690745,6,20
38,sign_bonferroni,0.022321428571428572,0.0,0.011286681715575621,5,20
39,sign_lsu,0.33766233766233766,0.052083333333333336,0.2054176072234763,96,20
40,sign_uncorr_0.01,0.46283783783783783,0.08053691275167785,0.309255079006772,149,20
41,sign_uncorr_0.05,0.6532797858099063,0.19736842105263158,0.5507900677200903,304,20
42,sign_eff_0.05,0.6588235294117647,0.21739130434782608,0.5688487584650113,322,20
43,sign_eff_0.1,0.6270718232044199,0.19217081850533807,0.5124153498871332,281,20
44,sign_eff_0.15,0.5781710914454278,0.16595744680851063,0.44243792325056436,235,20
45,sign_holm_bonferroni,0.03111111111111111,0.0,0.01580135440180587,7,20
46,sign_sidak,0.03111111111111111,0.0,0.01580135440180587,7,20
47,sign_bonferroni,0.03111111111111111,0.0,0.01580135440180587,7,20
48,sign_lsu,0.21686746987951808,0.01818181818181818,0.12189616252821671,55,20
49,sign_uncorr_0.01,0.4223385689354276,0.06923076923076923,0.27313769751693,130,20
50,sign_uncorr_0.05,0.6060606060606061,0.2226148409893993,0.4966139954853273,283,20
51,sign_eff_0.05,0.6219839142091153,0.23432343234323433,0.5237020316027088,303,20
52,sign_eff_0.1,0.5784172661870504,0.20238095238095238,0.45372460496614,252,20
53,sign_eff_0.15,0.5502318392581144,0.12745098039215685,0.4018058690744921,204,20
54,sign_holm_bonferroni,0.013452914798206279,0.0,0.006772009029345372,3,20
55,sign_sidak,0.013452914798206279,0.0,0.006772009029345372,3,20
56,sign_bonferroni,0.013452914798206279,0.0,0.006772009029345372,3,20
57,sign_lsu,0.0944206008583691,0.043478260869565216,0.04966139954853273,23,20
58,sign_uncorr_0.01,0.2571976967370441,0.14102564102564102,0.15124153498871332,78,20
59,sign_uncorr_0.05,0.4984894259818731,0.2465753424657534,0.3724604966139955,219,20
60,sign_eff_0.05,0.5190615835777126,0.2594142259414226,0.39954853273137697,239,20
61,sign_eff_0.1,0.4538341158059468,0.2602040816326531,0.327313769751693,196,20
62,sign_eff_0.15,0.40931780366056575,0.22151898734177214,0.27765237020316025,158,20
63,sign_holm_bonferroni,0.0045045045045045045,0.0,0.002257336343115124,1,20
64,sign_sidak,0.0045045045045045045,0.0,0.002257336343115124,1,20
65,sign_bonferroni,0.0045045045045045045,0.0,0.002257336343115124,1,20
66,sign_lsu,0.08172043010752689,0.13636363636363635,0.04288939051918736,22,20
67,sign_uncorr_0.01,0.28785046728971964,0.16304347826086957,0.17381489841986456,92,20
68,sign_uncorr_0.05,0.4744186046511628,0.24257425742574257,0.345372460496614,202,20
69,sign_eff_0.05,0.45941807044410415,0.2857142857142857,0.33860045146726864,210,20
70,sign_eff_0.1,0.4302134646962233,0.21084337349397592,0.29571106094808125,166,20
71,sign_eff_0.15,0.38408304498269896,0.17777777777777778,0.2505643340857788,135,20
72,sign_holm_bonferroni,0.03547671840354767,0.0,0.01805869074492099,8,20
73,sign_sidak,0.03982300884955752,0.0,0.020316027088036117,9,20
74,sign_bonferroni,0.03547671840354767,0.0,0.01805869074492099,8,20
75,sign_lsu,0.17922606924643583,0.08333333333333333,0.09932279909706546,48,20
