,index,dice,fdr,power,count,size
0,sign_holm_bonferroni,0.6040816326530613,0.006711409395973154,0.4340175953079179,149,90
1,sign_sidak,0.5983606557377049,0.006802721088435374,0.4281524926686217,147,90
2,sign_bonferroni,0.5983606557377049,0.006802721088435374,0.4281524926686217,147,90
3,sign_lsu,0.823238566131026,0.28846153846153844,0.9765395894428153,468,90
4,sign_uncorr_0.01,0.8514056224899599,0.21674876847290642,0.9325513196480938,406,90
5,sign_uncorr_0.05,0.7494456762749445,0.39750445632798576,0.9912023460410557,561,90
6,sign_eff_0.05,0.8248447204968944,0.28448275862068967,0.9736070381231672,464,90
7,sign_eff_0.1,0.8498583569405099,0.1780821917808219,0.8797653958944281,365,90
8,sign_eff_0.15,0.8208469055374593,0.07692307692307693,0.7390029325513197,273,90
9,sign_holm_bonferroni,0.56,0.007462686567164179,0.39002932551319647,134,90
10,sign_sidak,0.5508474576271186,0.007633587786259542,0.3812316715542522,131,90
11,sign_bonferroni,0.5446808510638298,0.007751937984496124,0.375366568914956,129,90
12,sign_lsu,0.8258575197889182,0.24940047961630696,0.9178885630498533,417,90
13,sign_uncorr_0.01,0.8253521126760563,0.20596205962059622,0.8592375366568915,369,90
14,sign_uncorr_0.05,0.7822014051522248,0.3489278752436647,0.9794721407624634,513,90
15,sign_eff_0.05,0.8239895697522817,0.25821596244131456,0.9266862170087976,426,90
16,sign_eff_0.1,0.826865671641791,0.1580547112462006,0.8123167155425219,329,90
17,sign_eff_0.15,0.7666098807495741,0.08536585365853659,0.6598240469208211,246,90
0,sign_holm_bonferroni,0.5594989561586639,0.014705882352941176,0.39067055393586003,136,90
1,sign_sidak,0.5534591194968553,0.014925373134328358,0.3848396501457726,134,90
2,sign_bonferroni,0.5534591194968553,0.014925373134328358,0.3848396501457726,134,90
3,sign_lsu,0.8335517693315858,0.24285714285714285,0.9271137026239067,420,90
4,sign_uncorr_0.01,0.8520055325034578,0.18947368421052632,0.8979591836734694,380,90
5,sign_uncorr_0.05,0.7581552305961755,0.38278388278388276,0.9825072886297376,546,90
6,sign_eff_0.05,0.8144329896907216,0.2702078521939954,0.9212827988338192,433,90
7,sign_eff_0.1,0.8663729809104258,0.12721893491124261,0.8600583090379009,338,90
8,sign_eff_0.15,0.7980295566502463,0.08646616541353383,0.7084548104956269,266,90
9,sign_holm_bonferroni,0.624,0.006369426751592357,0.45481049562682213,157,90
10,sign_sidak,0.6101010101010101,0.006578947368421052,0.4402332361516035,152,90
11,sign_bonferroni,0.6101010101010101,0.006578947368421052,0.4402332361516035,152,90
12,sign_lsu,0.8118811881188119,0.2946236559139785,0.956268221574344,465,90
13,sign_uncorr_0.01,0.8453333333333334,0.22113022113022113,0.924198250728863,407,90
14,sign_uncorr_0.05,0.7456140350877193,0.4024604569420035,0.9912536443148688,569,90
15,sign_eff_0.05,0.8094059405940595,0.2967741935483871,0.9533527696793003,465,90
16,sign_eff_0.1,0.851063829787234,0.1712707182320442,0.8746355685131195,362,90
17,sign_eff_0.15,0.835725677830941,0.07746478873239436,0.7638483965014577,284,90
0,sign_holm_bonferroni,0.6072874493927125,0.006622516556291391,0.43731778425655976,151,90
1,sign_sidak,0.5872689938398358,0.006944444444444444,0.41690962099125367,144,90
2,sign_bonferroni,0.5843621399176955,0.006993006993006993,0.4139941690962099,143,90
3,sign_lsu,0.8257575757575758,0.2717149220489978,0.9533527696793003,449,90
4,sign_uncorr_0.01,0.8598382749326146,0.20050125313283207,0.9300291545189504,399,90
5,sign_uncorr_0.05,0.762119503945885,0.3786764705882353,0.9854227405247813,544,90
6,sign_eff_0.05,0.8225,0.2800875273522976,0.9591836734693877,457,90
7,sign_eff_0.1,0.8583569405099151,0.1652892561983471,0.8833819241982507,363,90
8,sign_eff_0.15,0.8180354267310789,0.08633093525179857,0.7405247813411079,278,90
9,sign_holm_bonferroni,0.5726141078838174,0.007194244604316547,0.40233236151603496,139,90
10,sign_sidak,0.5696465696465697,0.007246376811594203,0.39941690962099125,138,90
11,sign_bonferroni,0.5666666666666667,0.0072992700729927005,0.3965014577259475,137,90
12,sign_lsu,0.8106060606060606,0.28507795100222716,0.9358600583090378,449,90
13,sign_uncorr_0.01,0.8485675306957708,0.20256410256410257,0.9067055393586005,390,90
14,sign_uncorr_0.05,0.7619047619047619,0.37662337662337664,0.9795918367346939,539,90
15,sign_eff_0.05,0.809102402022756,0.2857142857142857,0.9329446064139941,448,90
16,sign_eff_0.1,0.8567208271787297,0.1317365269461078,0.8454810495626822,334,90
17,sign_eff_0.15,0.8151815181518152,0.060836501901140684,0.7201166180758017,263,90
0,sign_holm_bonferroni,0.6428571428571429,0.012195121951219513,0.4764705882352941,164,90
1,sign_sidak,0.6347305389221557,0.012422360248447204,0.4676470588235294,161,90
2,sign_bonferroni,0.632,0.0125,0.4647058823529412,160,90
3,sign_lsu,0.8033980582524272,0.31611570247933884,0.9735294117647059,484,90
4,sign_uncorr_0.01,0.8396349413298566,0.2459016393442623,0.9470588235294117,427,90
5,sign_uncorr_0.05,0.738562091503268,0.4134948096885813,0.9970588235294118,578,90
