,index,dice,fdr,power,count
0,sign_holm_bonferroni,0.07344632768361582,0.07142857142857142,0.03823529411764706,14
1,sign_sidak,0.07344632768361582,0.07142857142857142,0.03823529411764706,14
2,sign_bonferroni,0.07344632768361582,0.07142857142857142,0.03823529411764706,14
3,sign_lsu,0.43254817987152033,0.2047244094488189,0.29705882352941176,127
4,sign_uncorr_0.01,0.49206349206349204,0.24390243902439024,0.36470588235294116,164
5,sign_uncorr_0.05,0.5856515373352855,0.41690962099125367,0.5882352941176471,343
6,sign_eff_0.05,0.5894736842105263,0.39692307692307693,0.5764705882352941,325
7,sign_eff_0.1,0.5675213675213675,0.3224489795918367,0.48823529411764705,245
8,sign_eff_0.15,0.5280898876404494,0.27319587628865977,0.4147058823529412,194
9,sign_holm_bonferroni,0.04597701149425287,0.0,0.023529411764705882,8
10,sign_sidak,0.04597701149425287,0.0,0.023529411764705882,8
11,sign_bonferroni,0.04597701149425287,0.0,0.023529411764705882,8
12,sign_lsu,0.3436754176610978,0.08860759493670886,0.21176470588235294,79
13,sign_uncorr_0.01,0.45689655172413796,0.14516129032258066,0.31176470588235294,124
14,sign_uncorr_0.05,0.6317460317460317,0.3137931034482759,0.5852941176470589,290
15,sign_eff_0.05,0.618421052631579,0.29850746268656714,0.5529411764705883,268
16,sign_eff_0.1,0.550185873605948,0.25252525252525254,0.43529411764705883,198
17,sign_eff_0.15,0.48770491803278687,0.19594594594594594,0.35,148
18,sign_holm_bonferroni,0.05714285714285714,0.0,0.029411764705882353,10
19,sign_sidak,0.05714285714285714,0.0,0.029411764705882353,10
20,sign_bonferroni,0.05714285714285714,0.0,0.029411764705882353,10
21,sign_lsu,0.4302059496567506,0.030927835051546393,0.27647058823529413,97
22,sign_uncorr_0.01,0.5175983436853002,0.1258741258741259,0.36764705882352944,143
23,sign_uncorr_0.05,0.6918238993710691,0.25675675675675674,0.6470588235294118,296
24,sign_eff_0.05,0.6839546191247974,0.23826714801444043,0.6205882352941177,277
25,sign_eff_0.1,0.6243194192377496,0.1848341232227488,0.5058823529411764,211
26,sign_eff_0.15,0.5736434108527132,0.1590909090909091,0.43529411764705883,176
27,sign_holm_bonferroni,0.06267806267806268,0.0,0.03235294117647059,11
28,sign_sidak,0.06267806267806268,0.0,0.03235294117647059,11
29,sign_bonferroni,0.06267806267806268,0.0,0.03235294117647059,11
30,sign_lsu,0.3309002433090024,0.04225352112676056,0.2,71
31,sign_uncorr_0.01,0.47186147186147187,0.10655737704918032,0.3205882352941177,122
32,sign_uncorr_0.05,0.6216696269982238,0.21524663677130046,0.5147058823529411,223
33,sign_eff_0.05,0.6064981949458483,0.21495327102803738,0.49411764705882355,214
34,sign_eff_0.1,0.573076923076923,0.17222222222222222,0.43823529411764706,180
35,sign_eff_0.15,0.5297741273100616,0.12244897959183673,0.37941176470588234,147
36,sign_holm_bonferroni,0.16666666666666666,0.03125,0.09117647058823529,32
37,sign_sidak,0.16666666666666666,0.03125,0.09117647058823529,32
38,sign_bonferroni,0.16666666666666666,0.03125,0.09117647058823529,32
39,sign_lsu,0.6544789762340036,0.13526570048309178,0.5264705882352941,207
40,sign_uncorr_0.01,0.6762075134168157,0.136986301369863,0.5558823529411765,219
41,sign_uncorr_0.05,0.6933333333333334,0.36585365853658536,0.7647058823529411,410
42,sign_eff_0.05,0.695054945054945,0.3479381443298969,0.7441176470588236,388
43,sign_eff_0.1,0.7103658536585366,0.2626582278481013,0.6852941176470588,316
44,sign_eff_0.15,0.6934673366834171,0.19455252918287938,0.6088235294117647,257
45,sign_holm_bonferroni,0.16711590296495957,0.0,0.09117647058823529,31
46,sign_sidak,0.16711590296495957,0.0,0.09117647058823529,31
