,sign_holm_bonferroni,sign_sidak,sign_bonferroni,sign_lsu,sign_eff_0.05,sign_eff_0.1,sign_eff_0.15,chan_pair,band
0,0.0,0.0,0.0,0.1,0.1,0.05,0.0,Cz/P4,delta
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4/Pz,delta
2,0.0,0.0,0.0,0.075,0.075,0.0,0.0,Fp1/T6,delta
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C3/Pz,delta
4,0.0,0.0,0.0,0.825,0.85,0.6,0.45,Fp2/Fz,delta
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F3/T6,delta
6,0.0,0.0,0.0,0.675,0.675,0.375,0.1,Fz/T4,delta
7,0.0,0.0,0.0,0.375,0.35,0.15,0.075,F7/P3,delta
8,0.0,0.0,0.0,0.675,0.675,0.525,0.3,Fp2/F3,delta
9,0.0,0.0,0.0,0.425,0.4,0.125,0.05,Pz/P4,delta
10,0.0,0.0,0.0,0.15,0.15,0.075,0.0,C4/P3,delta
11,0.0,0.0,0.0,1.0,1.0,0.875,0.575,Fp1/F4,delta
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T5/Pz,delta
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T4/O2,delta
14,0.0,0.0,0.0,0.1,0.1,0.025,0.0,T6/O2,delta
15,0.0,0.0,0.0,0.15,0.125,0.05,0.0,F4/F8,delta
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F8/P4,delta
17,0.0,0.0,0.0,0.0,0.05,0.0,0.0,C4/P4,delta
18,0.0,0.0,0.0,0.825,0.875,0.625,0.35,F4/T4,delta
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F3/O1,delta
20,0.0,0.0,0.0,0.175,0.2,0.1,0.0,Fz/Cz,delta
21,0.0,0.0,0.0,0.1,0.1,0.05,0.025,C3/T4,delta
22,0.0,0.0,0.0,0.075,0.075,0.025,0.0,Fp1/Pz,delta
23,0.1,0.05,0.05,0.925,0.95,0.8,0.55,Fp2/T4,delta
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F7/C4,delta
25,0.3,0.25,0.25,1.0,1.0,0.975,0.875,Fp2/C3,delta
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F4/O2,delta
27,0.0,0.0,0.0,0.05,0.05,0.025,0.0,T4/T5,delta
28,0.0,0.0,0.0,0.825,0.8,0.5,0.3,F3/Pz,delta
29,0.0,0.0,0.0,0.325,0.35,0.25,0.125,C3/O2,delta
30,0.0,0.0,0.0,0.1,0.1,0.0,0.0,Fp1/O2,delta
31,0.0,0.0,0.0,0.075,0.1,0.05,0.025,Fp2/T3,delta
32,0.0,0.0,0.0,0.025,0.025,0.0,0.0,C3/T5,delta
33,0.0,0.0,0.0,0.725,0.725,0.525,0.375,C4/T4,delta
34,0.325,0.3,0.3,0.95,0.95,0.875,0.8,P3/O2,delta
35,0.0,0.0,0.0,0.4,0.4,0.275,0.125,T3/Pz,delta
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P4/T6,delta
37,0.0,0.0,0.0,0.025,0.025,0.025,0.025,T4/O1,delta
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fz/T6,delta
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P4/O2,delta
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F4/P3,delta
41,0.0,0.0,0.0,0.075,0.05,0.05,0.025,F7/Pz,delta
42,0.0,0.0,0.0,0.55,0.55,0.4,0.25,Cz/O2,delta
43,0.0,0.0,0.0,0.025,0.025,0.0,0.0,Fp1/T4,delta
44,0.025,0.025,0.025,0.575,0.575,0.325,0.225,F7/T5,delta
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fp1/P4,delta
46,0.0,0.0,0.0,0.175,0.125,0.025,0.025,T3/T5,delta
47,0.55,0.525,0.525,1.0,1.0,1.0,1.0,Fp1/C3,delta
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T3/T4,delta
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F8/T6,delta
50,0.1,0.1,0.1,0.775,0.75,0.65,0.375,Fz/T3,delta
51,0.0,0.0,0.0,0.1,0.125,0.075,0.0,Fz/C4,delta
52,0.0,0.0,0.0,0.025,0.025,0.0,0.0,F7/T4,delta
53,0.0,0.0,0.0,0.025,0.025,0.025,0.0,P3/Pz,delta
54,0.0,0.0,0.0,0.0,0.025,0.0,0.0,F8/O1,delta
55,0.0,0.0,0.0,0.075,0.125,0.0,0.0,T5/O1,delta
56,0.0,0.0,0.0,0.3,0.325,0.125,0.025,Cz/T6,delta
57,0.0,0.0,0.0,0.125,0.125,0.075,0.0,F7/Cz,delta
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fp2/O1,delta
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T5/P3,delta
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F4/T6,delta
61,0.25,0.25,0.25,1.0,1.0,0.9,0.8,Fp2/F4,delta
62,0.05,0.05,0.05,0.65,0.575,0.375,0.2,F7/C3,delta
63,0.075,0.075,0.075,0.825,0.8,0.6,0.3,Fp1/C4,delta
64,0.0,0.0,0.0,0.1,0.1,0.025,0.0,Fz/Pz,delta
65,0.0,0.0,0.0,0.275,0.275,0.05,0.0,C4/T6,delta
66,0.0,0.0,0.0,0.475,0.475,0.375,0.1,P3/T6,delta
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F7/O2,delta
68,0.0,0.0,0.0,0.775,0.875,0.625,0.275,F4/C3,delta
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F8/T5,delta
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fp2/F8,delta
71,0.05,0.05,0.05,0.525,0.55,0.325,0.125,T3/C3,delta
72,0.0,0.0,0.0,0.025,0.0,0.0,0.0,Fp1/O1,delta
73,0.0,0.0,0.0,0.275,0.45,0.1,0.025,F3/C4,delta
74,0.0,0.0,0.0,0.05,0.05,0.025,0.025,T3/C4,delta
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fz/P3,delta
