,index,dice,fdr,power,count,sample_size
0,sign_holm_bonferroni,0.09523809523809523,0.0,0.05,17,25
1,sign_sidak,0.09523809523809523,0.0,0.05,17,25
2,sign_bonferroni,0.09523809523809523,0.0,0.05,17,25
3,sign_lsu,0.4915254237288136,0.12121212121212122,0.3411764705882353,132,25
4,sign_uncorr_0.01,0.5392354124748491,0.1464968152866242,0.3941176470588235,157,25
5,sign_uncorr_0.05,0.6779661016949152,0.28802588996763756,0.6470588235294118,309,25
6,sign_eff_0.05,0.6614664586583463,0.2956810631229236,0.6235294117647059,301,25
7,sign_eff_0.1,0.632996632996633,0.25984251968503935,0.5529411764705883,254,25
8,sign_eff_0.15,0.5850091407678245,0.22705314009661837,0.47058823529411764,207,25
9,sign_holm_bonferroni,0.04597701149425287,0.0,0.023529411764705882,8,25
10,sign_sidak,0.04597701149425287,0.0,0.023529411764705882,8,25
11,sign_bonferroni,0.04597701149425287,0.0,0.023529411764705882,8,25
12,sign_lsu,0.18037135278514588,0.08108108108108109,0.1,37,25
13,sign_uncorr_0.01,0.323943661971831,0.19767441860465115,0.20294117647058824,86,25
14,sign_uncorr_0.05,0.5148148148148148,0.305,0.4088235294117647,200,25
15,sign_eff_0.05,0.48417132216014896,0.3401015228426396,0.38235294117647056,197,25
16,sign_eff_0.1,0.43636363636363634,0.3032258064516129,0.3176470588235294,155,25
17,sign_eff_0.15,0.39045553145336226,0.256198347107438,0.2647058823529412,121,25
18,sign_holm_bonferroni,0.01749271137026239,0.0,0.008823529411764706,3,25
19,sign_sidak,0.01749271137026239,0.0,0.008823529411764706,3,25
20,sign_bonferroni,0.01749271137026239,0.0,0.008823529411764706,3,25
21,sign_lsu,0.14130434782608695,0.07142857142857142,0.07647058823529412,28,25
22,sign_uncorr_0.01,0.4307692307692308,0.14782608695652175,0.28823529411764703,115,25
23,sign_uncorr_0.05,0.6394779771615008,0.28205128205128205,0.5764705882352941,273,25
24,sign_eff_0.05,0.636215334420881,0.2857142857142857,0.5735294117647058,273,25
25,sign_eff_0.1,0.6018018018018018,0.22325581395348837,0.49117647058823527,215,25
26,sign_eff_0.15,0.5343811394891945,0.1952662721893491,0.4,169,25
27,sign_holm_bonferroni,0.028985507246376812,0.0,0.014705882352941176,5,25
28,sign_sidak,0.028985507246376812,0.0,0.014705882352941176,5,25
29,sign_bonferroni,0.028985507246376812,0.0,0.014705882352941176,5,25
30,sign_lsu,0.3180722891566265,0.12,0.19411764705882353,75,25
31,sign_uncorr_0.01,0.5260960334029228,0.09352517985611511,0.37058823529411766,139,25
32,sign_uncorr_0.05,0.7001569858712716,0.24915824915824916,0.6558823529411765,297,25
33,sign_eff_0.05,0.6876971608832808,0.2585034013605442,0.6411764705882353,294,25
34,sign_eff_0.1,0.6541095890410958,0.21721311475409835,0.5617647058823529,244,25
35,sign_eff_0.15,0.6191369606003753,0.14507772020725387,0.4852941176470588,193,25
36,sign_holm_bonferroni,0.005865102639296188,0.0,0.0029411764705882353,1,25
37,sign_sidak,0.01749271137026239,0.0,0.008823529411764706,3,25
38,sign_bonferroni,0.005865102639296188,0.0,0.0029411764705882353,1,25
39,sign_lsu,0.21465968586387435,0.023809523809523808,0.12058823529411765,42,25
40,sign_uncorr_0.01,0.4260089686098655,0.10377358490566038,0.27941176470588236,106,25
41,sign_uncorr_0.05,0.6555740432612313,0.24521072796934865,0.5794117647058824,261,25
42,sign_eff_0.05,0.6441821247892074,0.2450592885375494,0.5617647058823529,253,25
43,sign_eff_0.1,0.6193078324225865,0.18660287081339713,0.5,209,25
44,sign_eff_0.15,0.545816733067729,0.15432098765432098,0.40294117647058825,162,25
45,sign_holm_bonferroni,0.09523809523809523,0.0,0.05,17,25
46,sign_sidak,0.1005586592178771,0.0,0.052941176470588235,18,25
47,sign_bonferroni,0.09523809523809523,0.0,0.05,17,25
48,sign_lsu,0.5416666666666666,0.07142857142857142,0.38235294117647056,140,25
49,sign_uncorr_0.01,0.6138996138996139,0.10674157303370786,0.4676470588235294,178,25
50,sign_uncorr_0.05,0.7210682492581603,0.27245508982035926,0.7147058823529412,334,25
51,sign_eff_0.05,0.7117117117117117,0.27300613496932513,0.6970588235294117,326,25
52,sign_eff_0.1,0.685337726523888,0.2209737827715356,0.611764705882353,267,25
53,sign_eff_0.15,0.6619469026548672,0.1688888888888889,0.55,225,25
54,sign_holm_bonferroni,0.09523809523809523,0.0,0.05,17,25
55,sign_sidak,0.09523809523809523,0.0,0.05,17,25
56,sign_bonferroni,0.0898876404494382,0.0,0.047058823529411764,16,25
57,sign_lsu,0.35944700460829493,0.1702127659574468,0.22941176470588234,94,25
58,sign_uncorr_0.01,0.45052631578947366,0.2074074074074074,0.31470588235294117,135,25
59,sign_uncorr_0.05,0.6156299840510366,0.32752613240418116,0.5676470588235294,287,25
60,sign_eff_0.05,0.6245954692556634,0.3057553956834532,0.5676470588235294,278,25
