,sign_holm_bonferroni,sign_sidak,sign_bonferroni,sign_lsu,sign_uncorr_0.01,sign_uncorr_0.05,sign_eff_0.05,sign_eff_0.1,sign_eff_0.15,chan_pair,band
0,0.0,0.0,0.0,0.15,0.1,0.225,0.15,0.1,0.025,F3/F4,delta
1,0.0,0.0,0.0,0.025,0.025,0.075,0.025,0.025,0.0,C3/P4,delta
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F7/F4,delta
3,0.15,0.15,0.125,1.0,0.975,1.0,1.0,1.0,0.925,F3/C3,delta
4,0.2,0.2,0.2,0.85,0.75,0.875,0.85,0.625,0.55,Fp1/T3,delta
5,0.0,0.0,0.0,0.15,0.1,0.4,0.25,0.1,0.075,F3/P3,delta
6,0.0,0.0,0.0,0.075,0.075,0.225,0.1,0.025,0.025,Cz/P4,delta
7,0.0,0.0,0.0,0.125,0.075,0.35,0.225,0.1,0.05,F3/C4,delta
8,0.0,0.0,0.0,0.15,0.1,0.375,0.225,0.125,0.025,Cz/P3,delta
9,0.0,0.0,0.0,0.15,0.05,0.425,0.2,0.15,0.05,C4/T6,delta
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F8/C3,delta
11,0.0,0.0,0.0,0.375,0.25,0.65,0.5,0.3,0.1,Fp1/F7,delta
12,0.0,0.0,0.0,0.45,0.375,0.6,0.475,0.375,0.225,T3/C3,delta
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T5/T6,delta
14,0.0,0.0,0.0,0.075,0.025,0.175,0.1,0.025,0.0,T6/O2,delta
15,0.0,0.0,0.0,0.375,0.375,0.65,0.475,0.375,0.275,Fz/F4,delta
16,0.3,0.275,0.275,1.0,0.975,1.0,1.0,1.0,0.975,Fp1/F3,delta
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F3/T4,delta
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cz/C4,delta
19,0.0,0.0,0.0,0.0,0.0,0.1,0.025,0.0,0.0,C4/O1,delta
20,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,Fp2/F8,delta
21,0.0,0.0,0.0,0.15,0.05,0.3,0.2,0.05,0.025,F7/Cz,delta
22,0.0,0.0,0.0,0.025,0.0,0.1,0.1,0.0,0.0,F3/P4,delta
23,0.0,0.0,0.0,0.275,0.2,0.5,0.4,0.225,0.15,P4/O1,delta
24,0.0,0.0,0.0,0.375,0.25,0.575,0.425,0.175,0.05,Fp1/F8,delta
25,0.0,0.0,0.0,0.1,0.05,0.125,0.125,0.1,0.025,Fz/C4,delta
26,0.0,0.0,0.0,0.175,0.075,0.25,0.2,0.1,0.075,Fp1/Fp2,delta
27,0.0,0.0,0.0,0.1,0.075,0.225,0.125,0.05,0.0,C4/P3,delta
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fz/P4,delta
29,0.0,0.0,0.0,0.1,0.075,0.175,0.125,0.075,0.025,Fz/T5,delta
30,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,F4/O1,delta
31,0.025,0.025,0.025,0.425,0.35,0.6,0.425,0.25,0.1,P3/P4,delta
32,0.325,0.3,0.275,0.95,0.95,1.0,0.95,0.9,0.825,O1/O2,delta
