,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('F3', 'Fz')",5.744588325574312e-27,-1.0461116663792,1.0461116663792,-1.1879830882619777,-0.9198336306834185,alpha2
"('Fp1', 'F3')",5.59098013268772e-24,-1.0165435589862206,1.0165435589862206,-1.112418222510317,-0.9382149760661438,alpha2
"('Fz', 'F4')",1.381926889731218e-26,-1.007131212886628,1.007131212886628,-1.1522794889318304,-0.9095785885620253,alpha2
"('F7', 'Fz')",1.880224167253631e-24,-0.9763170972829289,0.9763170972829289,-1.065665687538628,-0.8636941896462896,alpha2
"('Fp1', 'Fz')",3.2359393944103004e-24,-0.9333866227160723,0.9333866227160723,-1.0470030663452505,-0.8575031932007959,alpha2
"('F3', 'F4')",1.1860352759347499e-21,-0.9316538779409445,0.9316538779409445,-1.0145210771836386,-0.8186402248881633,alpha2
"('Fp2', 'Fz')",3.0292664441833233e-20,-0.9217718962105371,0.9217718962105371,-1.102408801871221,-0.7282817774936774,alpha2
"('Fp1', 'F7')",1.671173237793644e-20,-0.9070758422647078,0.9070758422647078,-1.0343807940669467,-0.7830885541871654,alpha2
"('F7', 'F3')",2.3816651215565186e-20,-0.8965134954286869,0.8965134954286869,-1.0003303889087387,-0.8233650966055379,alpha2
"('Fp1', 'F4')",6.391658671138836e-20,-0.8648078257501645,0.8648078257501645,-0.9743570494169329,-0.7231520889570879,alpha2
"('Fp1', 'F3')",2.4672454412410336e-17,-0.8342417747753377,0.8342417747753377,-0.905109318214125,-0.742201913191803,beta1
"('Fp2', 'F4')",6.41625372110058e-20,-0.8126232043370848,0.8126232043370848,-0.8658332569189208,-0.7319606312091194,alpha2
"('F4', 'F8')",4.2794343197313394e-15,-0.8071030728450055,0.8071030728450055,-1.0326622306209468,-0.6473077176620337,alpha2
"('F7', 'T6')",2.414678423053033e-16,-0.8034889532710036,0.8034889532710036,-0.903080387081785,-0.7302634282165574,alpha2
"('C3', 'Cz')",2.065223841324161e-16,-0.7965874858350434,0.7965874858350434,-0.9449719383837891,-0.6170325590432455,alpha2
"('F7', 'F4')",2.135603929381231e-18,-0.7884814001550897,0.7884814001550897,-0.9062519398733568,-0.7059574396942969,alpha2
"('Fp2', 'F3')",6.542662870087334e-17,-0.7777548045552334,0.7777548045552334,-0.8551563852002002,-0.6713531663719972,alpha2
"('Fp2', 'F4')",1.2702906584770824e-15,-0.7695131280925929,0.7695131280925929,-0.8938186866776041,-0.6139654467255113,beta1
"('Fz', 'F8')",9.59393109979844e-15,-0.7653472695382312,0.7653472695382312,-0.8924048317880124,-0.6063550617412201,alpha2
"('F7', 'Cz')",2.8257381690705438e-14,-0.7555209515399185,0.7555209515399185,-0.8252443472445026,-0.661793997823833,alpha2
"('F7', 'O2')",1.660391844942496e-16,-0.7470249746612102,0.7470249746612102,-0.9685414820744891,-0.6330659936732518,alpha2
"('Fp2', 'F4')",8.945267745595319e-14,-0.7249079923741518,0.7249079923741518,-0.8780268429368296,-0.5815206720613418,beta2
"('F3', 'F8')",8.74431211654738e-15,-0.7236355968422725,0.7236355968422725,-0.8325530689407433,-0.6218100251089207,alpha2
"('Fp1', 'O2')",6.066862581267327e-15,-0.7202425573007365,0.7202425573007365,-0.8084386477813229,-0.6303042178637388,alpha2
"('T3', 'Cz')",2.9433213749553547e-14,-0.7128474463598348,0.7128474463598348,-0.8282548279338946,-0.6161958889658585,alpha2
"('Fp1', 'Fz')",5.777337245962231e-15,-0.7100732626676967,0.7100732626676967,-0.8011952897936262,-0.5921354217618795,beta1
"('Fp2', 'F7')",1.3128802520835903e-14,-0.7096661493194457,0.7096661493194457,-0.7641844517250063,-0.6038846345546679,alpha2
"('T6', 'O2')",1.1893069126413384e-14,-0.7052221039901683,0.7052221039901683,-0.8382254368476245,-0.5944911983892112,alpha2
"('F3', 'Cz')",6.448593201255817e-12,-0.6947291517665911,0.6947291517665911,-0.8039884317258037,-0.5060847181396267,alpha2
"('Fp1', 'T6')",8.588924112905103e-13,-0.6942685402659773,0.6942685402659773,-0.8247811922059155,-0.5902333707843355,alpha2
"('Fp2', 'Fz')",1.4506601190134247e-13,-0.6839778109937854,0.6839778109937854,-0.776064799051546,-0.5797086688190124,beta1
"('F4', 'Cz')",1.0702702268797132e-12,-0.6776033261016289,0.6776033261016289,-0.7429570445321352,-0.594074260402503,alpha2
"('Fp1', 'F7')",2.580253866668597e-11,-0.6722569622239286,0.6722569622239286,-0.8272715898411791,-0.6095684694468488,beta2
"('Fp1', 'F3')",3.5872762235456015e-13,-0.6666512103791359,0.6666512103791359,-0.7181847962588093,-0.6146902924237282,alpha1
"('F3', 'Fz')",7.623577493014631e-11,-0.6585384679516921,0.6585384679516921,-0.8282087558275588,-0.5523018849404966,beta1
"('F8', 'O1')",2.343180102782026e-11,-0.6513875376869978,0.6513875376869978,-0.8323082938350967,-0.5073585498900106,alpha2
"('F3', 'T6')",1.095102641428196e-10,-0.649761896311422,0.649761896311422,-0.7700178474148138,-0.5825338846481308,alpha2
"('Fp1', 'F7')",1.1114019394965006e-10,-0.649162080924307,0.649162080924307,-0.7653534369796056,-0.5312276552419174,beta1
"('Fp2', 'F8')",7.799967742921211e-10,-0.6435863251813905,0.6435863251813905,-0.8116553635297689,-0.533660855014278,alpha2
"('Fp1', 'F3')",4.01491242125142e-11,-0.6430411420114712,0.6430411420114712,-0.7603888502708412,-0.5271491214509614,beta2
"('T3', 'C3')",6.616960027462881e-12,-0.6424579766532996,0.6424579766532996,-0.7400211702404189,-0.5304436730387337,alpha2
"('F4', 'F8')",3.1739555599456947e-12,-0.6421053342615131,0.6421053342615131,-0.765986302749947,-0.5402058890798406,beta2
"('F4', 'F8')",1.770499762327452e-10,-0.6397520634956775,0.6397520634956775,-0.8093349155575068,-0.4597438972883701,beta1
"('Fz', 'F4')",2.4530119240639047e-12,-0.637445448353477,0.637445448353477,-0.7394474799523048,-0.5269124175556065,beta1
"('F7', 'F3')",2.0407327771895137e-10,-0.6320123513656356,0.6320123513656356,-0.6987431191169912,-0.548786058210143,beta1
"('Fp2', 'O2')",1.0525687743667811e-11,-0.6312046087868562,0.6312046087868562,-0.7150629119873636,-0.5615551960315284,alpha2
"('Fp1', 'Fz')",7.30849726876867e-11,-0.6227375519700685,0.6227375519700685,-0.7541906787148182,-0.5421579334504887,beta2
"('Fp1', 'Fp2')",1.43157857804979e-10,-0.6218724029084066,0.6218724029084066,-0.7696876501838081,-0.4552919458361011,alpha2
"('Fp1', 'C3')",3.5857624885731043e-10,-0.6176562296066179,0.6176562296066179,-0.7569680960791055,-0.4967609540370208,beta1
"('Fz', 'T3')",1.5333304267109418e-10,-0.6116721328074266,0.6116721328074266,-0.7311754687087043,-0.4834445973497265,alpha2
"('C3', 'C4')",8.897292883644581e-10,-0.6074882989258882,0.6074882989258882,-0.717055592486183,-0.45844446414291884,alpha2
"('Fp2', 'Cz')",6.761585844596723e-10,-0.6074457844904833,0.6074457844904833,-0.7337370934346606,-0.5353137440202739,beta1
"('Fp1', 'Fz')",1.337375393463295e-10,-0.6037479685369151,0.6037479685369151,-0.6772360772325291,-0.545558099101649,alpha1
"('T5', 'O1')",5.8662349312812144e-09,-0.6036275046791951,0.6036275046791951,-0.7000371349269516,-0.4851539501623945,alpha2
"('F3', 'Fz')",2.5546500310621537e-09,-0.5975578700996074,0.5975578700996074,-0.7884474355166349,-0.443760569024208,alpha1
"('Fp1', 'F4')",7.000044744758418e-10,-0.5973811143691321,0.5973811143691321,-0.706694021757385,-0.48763074968038644,alpha1
"('Fp1', 'Cz')",2.510929478467987e-10,-0.5956695665828992,0.5956695665828992,-0.6707872221066554,-0.5120702448522696,beta1
"('F4', 'C3')",3.062390731234896e-09,-0.5918774591738104,0.5918774591738104,-0.6690143164519387,-0.5178756639902915,alpha2
"('Fp2', 'T6')",4.304563355113966e-09,-0.5918483135184497,0.5918483135184497,-0.7541607227599295,-0.4754723341562319,alpha2
"('F3', 'Cz')",1.2796993802652236e-09,-0.5903070894351059,0.5903070894351059,-0.7465992591244968,-0.47254790569627125,beta1
"('Fz', 'F4')",1.0584956040649014e-06,-0.5902617762978817,0.5902617762978817,-0.7476561804116725,-0.45961258765325036,alpha1
"('F8', 'T5')",3.178486768334579e-10,-0.5873425687317393,0.5873425687317393,-0.658805978613026,-0.4611314734051569,alpha2
"('Fp1', 'F4')",1.131463618091203e-08,-0.5824398825154425,0.5824398825154425,-0.6935740057630184,-0.4540515205332615,beta1
"('Fp2', 'F4')",5.833408345935344e-10,-0.5803157059019023,0.5803157059019023,-0.6957569009161407,-0.45104966183561934,gamma
"('Fp2', 'Fz')",4.4161527381049504e-09,-0.5778966496003897,0.5778966496003897,-0.7008495353788762,-0.47513302335532487,beta2
"('F7', 'F8')",1.9168259169543246e-08,-0.5726941892774675,0.5726941892774675,-0.7003162220910031,-0.4297212142164293,alpha2
"('Fp1', 'F7')",1.0454571033811658e-08,-0.5686353294123303,0.5686353294123303,-0.6727678167520099,-0.44730047468273104,alpha1
"('Fp2', 'F4')",4.809751930458875e-09,-0.5683639027948794,0.5683639027948794,-0.6490630879956725,-0.501712517491775,alpha1
"('Cz', 'C4')",5.105477155467166e-10,-0.5642687947782645,0.5642687947782645,-0.7080134308978616,-0.4443736513779675,alpha2
"('Fp2', 'F3')",2.251012066202117e-09,-0.5637796832502175,0.5637796832502175,-0.6713961220653764,-0.44382735391653105,alpha1
"('O2', 'P3')",1.1020719229822005e-08,0.5628323352509129,0.5628323352509129,0.48325451273532716,0.6347515534410171,alpha1
"('F7', 'F3')",4.652430021724418e-10,-0.5595471175828978,0.5595471175828978,-0.7183554439582298,-0.44040087145205364,alpha1
"('Fp2', 'Fz')",1.3969591753825026e-07,-0.5545428458012924,0.5545428458012924,-0.7317678245249025,-0.43447695160809763,alpha1
"('F7', 'F3')",4.449624710906805e-09,-0.553003563912792,0.553003563912792,-0.6341978842647289,-0.49765906624856204,beta2
"('O1', 'O2')",1.526486221955952e-08,0.5513748957076294,0.5513748957076294,0.4124929612010612,0.6603119606282213,alpha1
"('F7', 'Fz')",7.76650091409889e-09,-0.5498397400162673,0.5498397400162673,-0.64414936180173,-0.4681182864937363,alpha1
"('F7', 'Pz')",3.920381339821783e-08,-0.5464339273030809,0.5464339273030809,-0.661805952073214,-0.43750525821237723,alpha2
"('T3', 'Pz')",3.4957174600416955e-09,-0.5434488179379408,0.5434488179379408,-0.6487316355546897,-0.461952077363054,alpha2
"('T4', 'C4')",2.6514250891395506e-07,-0.5412007482686818,0.5412007482686818,-0.6833708034264498,-0.4558505221475647,beta2
"('Fp2', 'C4')",4.849864224357204e-08,-0.5401507658619972,0.5401507658619972,-0.6274955655715977,-0.4677282162430148,beta1
"('Fp1', 'T3')",5.107143802978754e-07,-0.5393420254433996,0.5393420254433996,-0.6603487816673059,-0.3960293236049498,alpha2
"('O2', 'Pz')",3.408711539763016e-08,0.5381965737871138,0.5381965737871138,0.439894676172694,0.7033604540495948,alpha1
"('F3', 'O2')",2.3570422733839045e-08,-0.5347736278881623,0.5347736278881623,-0.6651951279654653,-0.44799715812056157,alpha2
"('Fp2', 'F3')",5.979836522350684e-08,-0.533010647700582,0.533010647700582,-0.5857430989617206,-0.4848518068238049,beta1
"('Fp2', 'C3')",9.828251512774421e-09,-0.5315161631689571,0.5315161631689571,-0.6480750691399463,-0.3987238397967869,beta1
"('F8', 'Cz')",4.358164625500357e-07,-0.5307250852262672,0.5307250852262672,-0.6357906924329912,-0.4429495525279887,alpha2
"('F3', 'T3')",2.2102274440683634e-08,-0.5284155192964531,0.5284155192964531,-0.6425562328047357,-0.4262721771345567,alpha2
"('F7', 'P4')",1.071227044896946e-06,-0.526940662196757,0.526940662196757,-0.6933774153714568,-0.4123791147459217,alpha2
"('Fp1', 'Cz')",1.2065227850424113e-06,-0.5251663616410343,0.5251663616410343,-0.6311049709815966,-0.4316875574669306,alpha2
"('Fz', 'T6')",2.8319661395845035e-08,-0.5215906603355378,0.5215906603355378,-0.6875507390660262,-0.4642648695453909,alpha2
"('F3', 'C3')",3.2058481176937957e-07,-0.5201952162534078,0.5201952162534078,-0.5750883783517079,-0.48397606207969757,beta1
"('F8', 'O2')",6.177107562242375e-08,-0.5185177572174305,0.5185177572174305,-0.7008992157876006,-0.3201090283851605,alpha2
"('Fp1', 'F8')",8.424284701401948e-09,-0.5184302492581738,0.5184302492581738,-0.7165214220436584,-0.3265380655618722,alpha2
"('Fp1', 'C3')",7.954763135768239e-07,-0.5171025020098637,0.5171025020098637,-0.5715544822700157,-0.462030345917889,alpha1
"('F7', 'T3')",3.93553366729682e-06,-0.5119816689603212,0.5119816689603212,-0.6501954277025941,-0.4016893718849326,beta1
"('Fp1', 'F3')",1.7632754377965346e-06,-0.5053157474902336,0.5053157474902336,-0.5756025196568884,-0.4587336179957937,delta
"('Fp2', 'C3')",1.2045114614897025e-07,-0.5048264507284994,0.5048264507284994,-0.5834807679529856,-0.4440175637021996,alpha1
"('Fp1', 'F3')",6.25400414939467e-08,-0.5038498231116458,0.5038498231116458,-0.5930178895383663,-0.41218406475228087,theta
"('Fp1', 'Fz')",2.025415871291818e-06,-0.502075097490257,0.502075097490257,-0.5809723158870647,-0.4023144464437372,delta
"('F7', 'O1')",1.1945902017397616e-06,-0.4969000169924488,0.4969000169924488,-0.612512870896435,-0.4036037685213566,alpha2
"('F3', 'F4')",3.543655866477864e-07,-0.4931827081998009,0.4931827081998009,-0.6891867600957682,-0.3699236498285679,alpha1
"('Fp2', 'O1')",1.3987074622921617e-07,-0.49173604055429065,0.49173604055429065,-0.5654584959380996,-0.35943762438958154,alpha2
"('F7', 'C3')",1.3555666832044574e-06,-0.49138232989653846,0.49138232989653846,-0.5918746872994414,-0.3777480400334018,alpha2
"('Fz', 'F4')",3.074712442753827e-06,-0.49026192606188107,0.49026192606188107,-0.594873263022953,-0.43761155123582934,beta2
"('F4', 'Cz')",1.6814947644490992e-06,-0.4898364062401269,0.4898364062401269,-0.5587633812003366,-0.37095467801182674,beta1
"('T4', 'C4')",7.039812252143626e-07,-0.4882046183098159,0.4882046183098159,-0.6222397332885151,-0.3589868180277804,alpha2
"('Fp1', 'O1')",2.6888313838132636e-07,-0.4879537543754865,0.4879537543754865,-0.5830508269328554,-0.35792708870005513,alpha2
"('Fp1', 'F7')",4.251918785438295e-06,-0.4878977016557265,0.4878977016557265,-0.5782278205376798,-0.3837255625780306,gamma
