,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('F3', 'Fz')",5.744588325574312e-27,-1.0683212963857218,1.0683212963857218,-1.2488691294165462,-0.9000214364678945,alpha2
"('Fz', 'F4')",6.909634448656091e-27,-1.0087654886640125,1.0087654886640125,-1.1203603192612868,-0.9289206674118639,alpha2
"('F7', 'Fz')",6.267413890845437e-25,-1.006937831257259,1.006937831257259,-1.128446429043936,-0.8262554193953326,alpha2
"('Fp1', 'Fz')",8.089848486025752e-25,-0.9907422488871894,0.9907422488871894,-1.0608648685116309,-0.8269012179663054,alpha2
"('Fp1', 'F3')",1.118196026537544e-24,-0.9716811665234616,0.9716811665234616,-1.0960461311421001,-0.834107042012119,alpha2
"('F3', 'F4')",1.9767254598912499e-22,-0.9326515281917185,0.9326515281917185,-1.1757748644679002,-0.7830498549042912,alpha2
"('Fp2', 'Fz')",3.365851604648137e-21,-0.8884034192651139,0.8884034192651139,-1.063996220488212,-0.8006988661436802,alpha2
"('F7', 'F3')",2.9770814019456482e-21,-0.8675957967770825,0.8675957967770825,-1.0131083967629186,-0.7704301601105025,alpha2
"('Fp1', 'F7')",2.3873903397052057e-21,-0.8612824610032217,0.8612824610032217,-1.0123334258871641,-0.7351686830550301,alpha2
"('Fp2', 'F4')",5.8329579282732544e-21,-0.8597027838872686,0.8597027838872686,-0.9675291041370997,-0.7710635459835848,alpha2
"('Fp1', 'F4')",5.8329579282732544e-21,-0.835529645858694,0.835529645858694,-0.9665240975980979,-0.655368241132968,alpha2
"('F7', 'F4')",1.7796699411510262e-19,-0.8121735776695373,0.8121735776695373,-0.9649671692833794,-0.6477700902073712,alpha2
"('C3', 'Cz')",1.2907649008276007e-17,-0.7937256244912708,0.7937256244912708,-0.9032930867200272,-0.6740304915926654,alpha2
"('Fp2', 'F3')",4.673330621490953e-18,-0.7763285680486673,0.7763285680486673,-0.8988621136457863,-0.6296091304958128,alpha2
"('F7', 'T6')",1.4203990723841373e-17,-0.7622449364581532,0.7622449364581532,-0.8661807547356174,-0.6619529212719126,alpha2
"('Fp2', 'F4')",7.05717032487268e-17,-0.75997851158216,0.75997851158216,-0.8517497740426041,-0.6470747077483622,beta1
"('Fp1', 'Fz')",2.888668622981116e-16,-0.7578836236721187,0.7578836236721187,-0.8458137002037642,-0.719395792743302,beta1
"('Fz', 'F8')",4.1712743912167138e-16,-0.7577273472774949,0.7577273472774949,-0.8807629544114665,-0.6203678918523008,alpha2
"('F3', 'F8')",3.974687325703355e-16,-0.7559444524189309,0.7559444524189309,-0.844896881113884,-0.6726230305793696,alpha2
"('F4', 'F8')",2.252333852490179e-16,-0.7509344606856858,0.7509344606856858,-1.0622845042341011,-0.5731583414815369,alpha2
"('T6', 'O2')",4.955445469338911e-16,-0.7499174319039674,0.7499174319039674,-0.8628468313752871,-0.6269896835098445,alpha2
"('Fp1', 'F3')",1.897881108646949e-18,-0.7495981188667035,0.7495981188667035,-0.7971526263659804,-0.6936991491292386,beta1
"('F7', 'O2')",1.1069278966283306e-17,-0.7428690689278462,0.7428690689278462,-0.8969978078185089,-0.5748106413493228,alpha2
"('Fp2', 'F7')",5.251521008334362e-16,-0.7239167364973694,0.7239167364973694,-0.9014202116304624,-0.5890382675160368,alpha2
"('F7', 'Cz')",1.08682237271944e-15,-0.7074163758101768,0.7074163758101768,-0.8364244682360565,-0.5435097588460885,alpha2
"('Fp2', 'F4')",3.194738480569757e-15,-0.7041744919262256,0.7041744919262256,-0.7995257229829555,-0.5920442371394203,beta2
"('Fz', 'F4')",7.433369466860318e-14,-0.7014728299435203,0.7014728299435203,-0.7780768146250376,-0.64567770424059,beta1
"('Fp2', 'Fz')",5.002276272460086e-15,-0.6917041830974543,0.6917041830974543,-0.7706173628980786,-0.6136401512321776,beta1
"('Fp1', 'F7')",6.616035555560505e-13,-0.6902441457950728,0.6902441457950728,-0.8137456455751992,-0.6076040823978804,beta2
"('Fp1', 'O2')",2.88898218155587e-16,-0.6838691322774147,0.6838691322774147,-0.7710101571100513,-0.6126424298725084,alpha2
"('Fp1', 'F3')",1.1957587411818672e-14,-0.671524797041583,0.671524797041583,-0.7191003895775517,-0.5869709116244386,alpha1
"('T3', 'Cz')",1.0901190277612426e-15,-0.6682335045889471,0.6682335045889471,-0.7218209271463758,-0.6028712221804222,alpha2
"('Fp1', 'T6')",2.7706206815822916e-14,-0.6666912013396887,0.6666912013396887,-0.8591847655214341,-0.44668764909329745,alpha2
"('F4', 'F8')",9.335163411604986e-14,-0.6655699015866283,0.6655699015866283,-0.7444520173411985,-0.5513809923790646,beta2
"('F8', 'O1')",6.166263428373753e-13,-0.6604632312112954,0.6604632312112954,-0.7847126371475721,-0.5472386522225999,alpha2
"('F3', 'Cz')",1.8380444520730228e-13,-0.658992372793577,0.658992372793577,-0.8430036807005291,-0.5638044009429235,alpha2
"('T3', 'C3')",1.8380444520730228e-13,-0.6581177661869522,0.6581177661869522,-0.7249336151996743,-0.5548513360687761,alpha2
"('F4', 'Cz')",3.344594458999104e-14,-0.6501580338684624,0.6501580338684624,-0.7454997782357724,-0.5229995826542897,alpha2
"('Fp2', 'O2')",2.844780471261571e-13,-0.6439210574601776,0.6439210574601776,-0.7971532519836845,-0.5024858285387517,alpha2
"('F8', 'T5')",6.232326996734469e-12,-0.6344580191205276,0.6344580191205276,-0.8084183416682587,-0.49601673721271755,alpha2
"('Fp1', 'Fp2')",3.1121273435865e-12,-0.6271269933634007,0.6271269933634007,-0.7622194338038157,-0.39403286443887436,alpha2
