,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('F7', 'Fz')",0.0,-1.0379285300269765,1.0379285300269765,-1.1612826149186022,-0.8993377276719741,alpha2
"('F3', 'Fz')",0.0,-1.0195338888663596,1.0195338888663596,-1.1722417018028382,-0.8869505158236721,alpha2
"('Fz', 'F4')",0.0,-1.0129090219327859,1.0129090219327859,-1.067517398537379,-0.9564857411203236,alpha2
"('Fp1', 'Fz')",0.0,-0.9792824740472161,0.9792824740472161,-1.1462533368866545,-0.8152860105756914,alpha2
"('Fp1', 'F3')",0.0,-0.9741661009479801,0.9741661009479801,-1.1063525171304338,-0.870945160176186,alpha2
"('Fp2', 'F4')",0.0,-0.9333863493979695,0.9333863493979695,-1.06492581004166,-0.821887447994847,alpha2
"('Fp2', 'Fz')",0.0,-0.9042588197027005,0.9042588197027005,-1.0416412399686688,-0.8116200909259582,alpha2
"('Fp1', 'F7')",0.0,-0.8958298509880869,0.8958298509880869,-1.022411621672228,-0.7983695645761609,alpha2
"('F3', 'F4')",0.0,-0.8880020737542587,0.8880020737542587,-0.9898527726241456,-0.7970262072011316,alpha2
"('Fp1', 'F4')",0.0,-0.8722763039399387,0.8722763039399387,-0.9448525209531737,-0.8115915487270888,alpha2
"('F7', 'F3')",0.0,-0.8685684094811341,0.8685684094811341,-1.0505746124922228,-0.7250319173615278,alpha2
"('F7', 'O2')",0.0,-0.8434740979840015,0.8434740979840015,-1.1083793068499252,-0.7472332339971688,alpha2
"('F7', 'F4')",0.0,-0.8411425141709955,0.8411425141709955,-0.9869451254975732,-0.7484559070734812,alpha2
"('T6', 'O2')",0.0,-0.799793300374964,0.799793300374964,-0.9289264401944295,-0.6746525872237817,alpha2
"('Fp2', 'F3')",0.0,-0.7989780923151173,0.7989780923151173,-0.9692901304197062,-0.6331203716479069,alpha2
"('C3', 'Cz')",0.0,-0.7957242355278615,0.7957242355278615,-0.9238298453815273,-0.6917195541542005,alpha2
"('F7', 'T6')",0.0,-0.792616838607242,0.792616838607242,-0.9153698221589719,-0.6763390678466286,alpha2
"('Fp1', 'F3')",0.0,-0.7842133949551773,0.7842133949551773,-0.8497593889813018,-0.741673681313977,beta1
"('Fp1', 'Fz')",0.0,-0.7571416557590878,0.7571416557590878,-0.9444896749068382,-0.6917845654707376,beta1
"('Fp2', 'F4')",0.0,-0.7513366803452889,0.7513366803452889,-0.9075736836935712,-0.5891341524458704,beta2
