,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('F3', 'Fz')",5.744588325574312e-27,-1.1104011922292227,1.1104011922292227,0.3862824083966175,-1.1970287230749224,0.34,0.20741767802431071,-1.1772813901216936,0.584,0.06668070196329473,-1.1318415323083701,0.81,0.01017818653489481,-1.1218075376922563,0.962,0.0006413258021489924,-1.0775458650140728,0.998,1.886689939468459e-07,-1.0950387982449112,1.0,alpha2
"('Fz', 'F4')",1.381926889731218e-26,-1.0259140369673083,1.0259140369673083,0.3777957326665257,-1.1909045461787056,0.334,0.16764112880245718,-1.1493806207815662,0.61,0.04246069354254495,-1.1343186052176444,0.848,0.0022873196384460446,-1.1123706018090562,0.992,7.99986587956116e-05,-1.0852399238852104,1.0,5.287873729643413e-08,-1.073619898032205,1.0,alpha2
"('Fp1', 'Fz')",3.2359393944103004e-24,-1.0129475182657128,1.0129475182657128,0.463090163740643,-1.1330180184435623,0.252,0.24445022715152043,-1.0808843666590864,0.456,0.07928535819781043,-1.0546869339592306,0.742,0.008053442428206496,-1.0393512747739326,0.966,0.0005107214727752301,-1.033050892617577,0.998,5.126371164453728e-07,-1.017647078547668,1.0,alpha2
"('Fp1', 'F3')",5.59098013268772e-24,-0.9822080339614653,0.9822080339614653,0.4400373306876212,-1.1554798931650274,0.28,0.2206289912729493,-1.114141585015325,0.524,0.09321739706995276,-1.0910753807387803,0.732,0.0054166060369565915,-1.0496823268846063,0.976,0.00028290403890971334,-1.0334033701427696,1.0,6.96089513799653e-07,-1.0245039457888883,1.0,alpha2
"('F7', 'Fz')",1.880224167253631e-24,-0.972864783617362,0.972864783617362,0.4486308938003629,-1.1527565146081342,0.234,0.27451379690117333,-1.1044942667458404,0.454,0.11806062084500278,-1.0922739394248835,0.706,0.017348323171339372,-1.07664531591694,0.932,0.0014033854521391363,-1.0292130670704216,0.998,1.540687248212535e-06,-1.0269425908210879,1.0,alpha2
"('Fp1', 'F4')",6.391658671138836e-20,-0.9175545831241683,0.9175545831241683,0.6298978465839572,-1.0065251335605816,0.13,0.4450705721852872,-0.9819961548661384,0.29,0.2780353734212905,-0.942970319788535,0.452,0.07071746591212151,-0.945220544860083,0.814,0.01187723342544286,-0.9138758344359643,0.956,7.990312367271853e-05,-0.8970356286413044,1.0,alpha2
"('Fp2', 'Fz')",3.0292664441833233e-20,-0.8974157802485433,0.8974157802485433,0.5736258988906696,-1.0590412257288848,0.188,0.40000689781868193,-1.010887982479768,0.344,0.23758441436817165,-0.9817571827472286,0.532,0.06069764090231253,-0.9536352479739852,0.84,0.007040663596067935,-0.9331151660686205,0.974,3.450661347014135e-05,-0.9167051599047584,1.0,alpha2
"('Fp1', 'F7')",1.671173237793644e-20,-0.8863883783366344,0.8863883783366344,0.6007684928481923,-1.032041702919345,0.14,0.36676200027906014,-1.0116184127541652,0.342,0.2102381425037988,-0.9638892391174552,0.506,0.03910631838091396,-0.9567924396816583,0.87,0.003007075685797059,-0.9336374128400305,0.986,2.1054124790299363e-05,-0.9102717366781933,1.0,alpha2
"('F7', 'F3')",2.3816651215565186e-20,-0.8804232466017016,0.8804232466017016,0.5716344428483948,-1.0950048956741951,0.174,0.35961371700047834,-1.0785078225353963,0.386,0.1729261598459542,-1.0250309108313882,0.54,0.029277380045848768,-0.9941689969983318,0.88,0.002097306300935329,-0.9625993978337598,0.992,1.542534977316836e-05,-0.9378422438024162,1.0,alpha2
"('F3', 'F4')",1.1860352759347499e-21,-0.8665841465149757,0.8665841465149757,0.5888660149116148,-1.0461725785874711,0.178,0.3670766756986012,-1.0081378875415183,0.37,0.18633265426701587,-0.9995813794376261,0.568,0.03453087759189402,-0.9875237710292176,0.89,0.008953672731929483,-0.9385753238520768,0.968,1.1288066550377892e-05,-0.9542535297222704,1.0,alpha2
"('Fp2', 'F4')",6.41625372110058e-20,-0.8651892853464288,0.8651892853464288,0.605487851928274,-1.0451203236227882,0.198,0.45267574814951983,-0.9769810125728025,0.314,0.2797353724940927,-0.9680657670138242,0.494,0.08512996680578362,-0.9559576536466963,0.818,0.011962902898905904,-0.9215694431700537,0.96,6.603941231217093e-05,-0.9044246237496858,1.0,alpha2
"('F7', 'T6')",2.414678423053033e-16,-0.8494468647511191,0.8494468647511191,0.7577379086900466,-0.8772156350325796,0.068,0.5774227645147878,-0.8684928708005194,0.206,0.42408698798662897,-0.8440355235688332,0.302,0.20579940309503503,-0.8173875490310597,0.582,0.059223241723000246,-0.7982444538120603,0.818,0.003886791026106688,-0.8014466145603376,0.992,alpha2
"('C3', 'Cz')",2.065223841324161e-16,-0.816958400955856,0.816958400955856,0.78232580265658,-0.883279381870275,0.074,0.6050846851733024,-0.8500313552810382,0.164,0.4136772702889369,-0.8534647851943871,0.34,0.17993569351425837,-0.8114960600972685,0.586,0.04371199626280819,-0.8078737896317034,0.862,0.0007018107825341211,-0.797586284490169,0.996,alpha2
"('F7', 'F4')",2.135603929381231e-18,-0.8167347598632884,0.8167347598632884,0.6888172652965325,-0.9472886680807002,0.094,0.537527504818662,-0.9066636579539081,0.22,0.36341847745113226,-0.8956755484837592,0.382,0.11198254190326234,-0.8882800598771248,0.73,0.02993770789369638,-0.8517362536371313,0.902,0.00021909742501784543,-0.8521737860698149,1.0,alpha2
"('Fp1', 'F3')",2.4672454412410336e-17,-0.807671946927832,0.807671946927832,0.8073605852383006,-0.8936019649725522,0.022,0.5792364760695856,-0.875102628319306,0.094,0.3632851332541213,-0.8486348264161193,0.254,0.0703974093786335,-0.8282580819052666,0.716,0.006777007405689356,-0.8276528510233577,0.976,7.107132446200392e-05,-0.8163294178813625,1.0,beta1
"('F7', 'O2')",1.660391844942496e-16,-0.7875055229407637,0.7875055229407637,0.7755478565970642,-0.8814655419697648,0.078,0.6055311246995473,-0.8573404682293567,0.172,0.4339989494250102,-0.8360368786746267,0.31,0.20569263940136176,-0.8160261896985768,0.574,0.05561209622258318,-0.7986941572770112,0.848,0.0014373853101686273,-0.7972809062422508,0.998,alpha2
