,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('F3', 'Fz')",5.744588325574312e-27,-1.0890533708368315,1.0890533708368315,0.0485912262153385,-1.1923711065769336,0.724,0.01246064392935587,-1.1796572420184446,0.942,0.005140495369917649,-1.1466422348477265,0.988,0.0005991696814320657,-1.1034703433706288,1.0,2.2145756300059555e-05,-1.096863099896997,1.0,2.6543828802234596e-08,-1.0938382655194556,1.0,alpha2
"('Fz', 'F4')",6.909634448656091e-27,-1.0200028587848697,1.0200028587848697,0.0408057322512897,-1.2143857236080093,0.752,0.011048274285175094,-1.162084373414631,0.954,0.0035055719633834176,-1.1317857534946423,0.992,0.00029350541837823023,-1.1077976784414987,1.0,8.455340315577528e-06,-1.1021710549603767,1.0,1.7387982256215007e-08,-1.0702664849691863,1.0,alpha2
"('F7', 'Fz')",6.267413890845437e-25,-1.0092263359070706,1.0092263359070706,0.05218458803101326,-1.1508125103248539,0.686,0.018641028547419235,-1.1111631536820608,0.896,0.00794475342190901,-1.0856304320067125,0.972,0.001302186636907304,-1.0494085526859398,0.998,4.120665639661107e-05,-1.0545723431271756,1.0,2.5558434104048234e-07,-1.026044292773282,1.0,alpha2
"('Fp1', 'F3')",1.118196026537544e-24,-1.0040008659001276,1.0040008659001276,0.04319671029116867,-1.1580347163121303,0.742,0.014855433361030885,-1.1239994468796266,0.926,0.004654838207510709,-1.0868651126021671,0.988,0.00042155966040465496,-1.047918430453937,1.0,2.8665219063407616e-05,-1.0324908553047285,1.0,5.2123773139172186e-08,-1.0121417290285954,1.0,alpha2
"('Fp1', 'Fz')",8.089848486025752e-25,-0.980808597331527,0.980808597331527,0.045693463494247,-1.1237450274843748,0.716,0.015324835110267228,-1.087320154863099,0.928,0.0054207691610663414,-1.0677670907323713,0.986,0.0004168130633950586,-1.0389569269731822,1.0,2.6547091535093248e-05,-1.0213263758072328,1.0,7.957009350329938e-08,-1.0151069129114354,1.0,alpha2
"('Fp2', 'Fz')",3.365851604648137e-21,-0.9149131503948459,0.9149131503948459,0.07297296662962192,-1.0465281833047437,0.568,0.02619112494901603,-1.0246046386377756,0.864,0.012562815896689086,-0.9805371104882966,0.946,0.0014012630082817987,-0.956535328003329,1.0,0.0001851323597605018,-0.9287230612859453,1.0,1.1199086894623277e-06,-0.9253524957807097,1.0,alpha2
"('F3', 'F4')",1.9767254598912499e-22,-0.9077773025756237,0.9077773025756237,0.06885836701284717,-1.0618718213045668,0.62,0.021833689213502996,-1.022057887036593,0.86,0.010319650083326557,-0.9940975900478667,0.952,0.0022053118140051655,-0.9586651199446757,0.996,0.00011215408651888727,-0.9528874613940129,1.0,5.441751146170474e-07,-0.9439583890622198,1.0,alpha2
"('Fp2', 'F4')",5.8329579282732544e-21,-0.9005960022590633,0.9005960022590633,0.07903139583989008,-1.049863574810975,0.57,0.030340042446978927,-1.0104043837566485,0.828,0.01610858579386449,-0.976620962995103,0.926,0.002088487888140699,-0.9356991470720372,0.996,0.00023589165683959962,-0.9238367762380201,1.0,1.4315127013431794e-06,-0.914002307530464,1.0,alpha2
"('F7', 'F3')",2.9770814019456482e-21,-0.8693634020301311,0.8693634020301311,0.05710525240383677,-1.1062624032776982,0.606,0.018024095416360422,-1.0735212740626332,0.908,0.007904741941873603,-1.0266551628360954,0.974,0.0009563153019501448,-0.9895779769517671,1.0,6.75695073854808e-05,-0.9779179648913632,1.0,7.329333396411671e-07,-0.9399207853827453,1.0,alpha2
"('Fp1', 'F4')",5.8329579282732544e-21,-0.8674221341417564,0.8674221341417564,0.07333867174462724,-1.0430462388401558,0.576,0.03264430344297248,-0.9780532793133232,0.814,0.015762669031660265,-0.941503269206265,0.908,0.002711623229994359,-0.921940236137266,0.992,0.00032083934358095455,-0.9178833927084378,0.998,3.4375387294370443e-06,-0.9051654627534211,1.0,alpha2
"('Fp1', 'F7')",2.3873903397052057e-21,-0.8595937155184817,0.8595937155184817,0.06679833066522596,-1.0296796500252294,0.584,0.02509018785088007,-0.9963576778091098,0.866,0.011226389288868214,-0.9735777074111913,0.962,0.0012571068799587621,-0.9417711543527847,1.0,9.560195627821006e-05,-0.9372498468805067,1.0,9.127901380893874e-07,-0.9159058852055036,1.0,alpha2
