,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fz', 'F4')",5.296377850387855e-26,-1.0716371851848483,1.0716371851848483,0.23941054202694703,-1.1921742719709223,0.29,0.0912738936612927,-1.1446286320711978,0.572,0.029209053458135164,-1.113184914802736,0.864,0.0013963490613704962,-1.1139904099086546,1.0,9.342686796699089e-05,-1.0923697012124596,1.0,2.8235425619367844e-07,-1.0798661814387265,1.0,alpha2
"('F3', 'Fz')",4.4033458778830386e-26,-1.036505589363784,1.036505589363784,0.2726977290198262,-1.2083917529297146,0.306,0.11114408956240553,-1.1389991228836283,0.574,0.0350425433013362,-1.145259588566677,0.834,0.0020916006915629665,-1.1167567015775544,0.998,0.00015161891475429711,-1.1167044678907205,1.0,2.8282812293787843e-06,-1.095104306008277,1.0,alpha2
"('Fp1', 'Fz')",6.201036343205412e-24,-0.9939902052958102,0.9939902052958102,0.28468097237873063,-1.1246141900496662,0.248,0.1159562534712387,-1.0792995904408837,0.526,0.03657086412636895,-1.0620643148252928,0.838,0.002920219800329435,-1.0422084933383713,0.99,0.00017683696929315522,-1.0342333157989179,1.0,3.4802223218420496e-07,-1.0164332076992768,1.0,alpha2
"('F7', 'Fz')",4.8041024973677455e-24,-0.9662062533752367,0.9662062533752367,0.3215040729335933,-1.1516085107366434,0.274,0.14085291321228838,-1.1043826504970329,0.506,0.04707765526669356,-1.0960884037839134,0.782,0.0033342884571810126,-1.0721985220657222,0.99,0.00029038876031269495,-1.0561804943613475,1.0,1.7689457911050676e-06,-1.0313290936743973,1.0,alpha2
"('F3', 'F4')",1.5152009878181116e-21,-0.9650258044747442,0.9650258044747442,0.3664918292743558,-1.0662778514789366,0.178,0.18854767868378072,-0.9875378330547037,0.392,0.07064289568566719,-0.9895777164303656,0.71,0.007823220828919286,-0.975345046702747,0.958,0.0007915827909139825,-0.9623809320472407,1.0,1.7586561869167804e-05,-0.9503893534659681,1.0,alpha2
"('Fp1', 'F3')",8.571204035977693e-24,-0.9532540870535122,0.9532540870535122,0.2749287758692123,-1.1744468432823694,0.272,0.11740447798802092,-1.1002389218806006,0.544,0.03799222380811967,-1.093872806181219,0.836,0.0028563475257117497,-1.038623883364514,0.992,0.0001432053471008747,-1.0486109850441245,1.0,4.516198420407806e-07,-1.0236841935769483,1.0,alpha2
"('F7', 'F3')",2.2819945270959084e-20,-0.9030720013953009,0.9030720013953009,0.35052847150876704,-1.101179065787295,0.2,0.15430420997195363,-1.0497884543929388,0.396,0.055725427382794575,-1.0285364485830266,0.71,0.00523551639116314,-0.9847941133551703,0.988,0.0006235626841622744,-0.9777341459525021,1.0,3.676465791981455e-06,-0.9469050315791729,1.0,alpha2
"('Fp2', 'F4')",4.4710830078079485e-20,-0.8929957392845205,0.8929957392845205,0.4024791977491618,-1.0497172897850464,0.192,0.2189542368438723,-1.0005463438242042,0.388,0.0947766932779755,-0.9716641352545871,0.642,0.019869439248166264,-0.9462979244221164,0.908,0.0020495033445366794,-0.9375718825158681,0.992,1.7227219177959967e-05,-0.9055462706070735,1.0,alpha2
"('Fp1', 'F7')",1.829984119913018e-20,-0.8754940900542054,0.8754940900542054,0.3995431819526916,-1.0264015635994357,0.132,0.1793936714673504,-1.0004125266573745,0.382,0.07032337042495757,-0.9722650172354687,0.684,0.006538116044621748,-0.9613466275184477,0.976,0.0008021426808144973,-0.936481426075555,1.0,8.004481722455945e-06,-0.9155825403749998,1.0,alpha2
"('F7', 'F4')",1.3641538531964814e-18,-0.8614970992264853,0.8614970992264853,0.4773385679267697,-0.9511830976772522,0.136,0.27499154356201266,-0.9022009775759664,0.294,0.1291593645023147,-0.8975390298140877,0.55,0.022704539437264238,-0.8797434073497253,0.906,0.0035661234568056194,-0.8712606847715686,0.99,5.105626968294362e-05,-0.8601764182929622,1.0,alpha2
