,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fz', 'F4')",1.380772397759847e-26,-1.0718267903736287,1.0718267903736287,0.4094863962482244,-1.1871282418493558,0.292,0.15326422038695636,-1.1676313781316587,0.632,0.04642888607936297,-1.1296370795880761,0.862,0.003578955079800113,-1.1074426984955352,0.984,0.00012957195523451384,-1.0889866726440502,1.0,9.226897790979632e-08,-1.0700666231164284,1.0,alpha2
"('F3', 'Fz')",5.744588325574312e-27,-1.0564949869663196,1.0564949869663196,0.38175704126276094,-1.2267225373988402,0.344,0.1999744581457618,-1.1768639020488474,0.592,0.081490423713269,-1.1285656144508984,0.782,0.009628252377284166,-1.1154821506963928,0.97,0.0006067015548374209,-1.110983631223959,0.998,6.696235123440855e-07,-1.0912244538488904,1.0,alpha2
"('F7', 'Fz')",1.8770826064060892e-24,-1.007303694641942,1.007303694641942,0.4471845599839729,-1.1708425722362377,0.286,0.255262651606556,-1.1188145644535732,0.488,0.13075115090734796,-1.0942307018901136,0.71,0.014720775200503633,-1.0759205472763211,0.952,0.0012047333292435128,-1.0457693203381762,0.998,1.2996159504626554e-06,-1.0282522077407963,1.0,alpha2
"('Fp1', 'F3')",5.572296823973642e-24,-0.9987356484032539,0.9987356484032539,0.42175689265058164,-1.1615073925082033,0.272,0.19105204348171695,-1.129385206052391,0.538,0.09109609337178785,-1.0791601394092893,0.712,0.008280987077724337,-1.0700642320484102,0.976,0.00032908958242350517,-1.0332993864495508,1.0,7.87190443722497e-07,-1.0112536426024925,1.0,alpha2
"('Fp1', 'Fz')",3.227829270614786e-24,-0.9796308489743849,0.9796308489743849,0.46283581143528335,-1.1173983554071774,0.23,0.19557125481861187,-1.1046318728113165,0.536,0.08523709287306408,-1.0693522663230146,0.728,0.00644869682562596,-1.0555555369772522,0.974,0.0002594255610940866,-1.0259548042582889,1.0,7.368268462648258e-07,-1.0125169963470484,1.0,alpha2
"('F3', 'F4')",1.1810810767871527e-21,-0.9349794960289864,0.9349794960289864,0.5866771086167176,-1.0413363882493376,0.17,0.3479201822955001,-1.0407273806875985,0.41,0.2081294291417239,-0.9836617744680389,0.534,0.04253824562407505,-0.9734705799927317,0.888,0.005188021870912476,-0.9620929017691118,0.982,1.7752882121738375e-05,-0.9431234303548278,1.0,alpha2
"('F7', 'F3')",2.3677372553485856e-20,-0.9018871201155323,0.9018871201155323,0.5814593323508953,-1.0883024049395738,0.204,0.34008821927096455,-1.0763541335126936,0.392,0.1594452439905075,-1.0365976536920647,0.554,0.02191753438431973,-0.9990457561409906,0.914,0.002216967362718276,-0.9742261050754454,0.994,1.0285530428364039e-05,-0.9460532115541338,1.0,alpha2
"('Fp2', 'F4')",6.36265093312146e-20,-0.8786297931854374,0.8786297931854374,0.6152375706010793,-1.0410568415651644,0.182,0.3974489252713989,-1.0041936932140738,0.382,0.272288096248115,-0.9698318000579804,0.51,0.0632284085455652,-0.9585968285787345,0.828,0.010905388856772143,-0.9226789936792156,0.954,7.765222757292968e-05,-0.89936791838355,1.0,alpha2
"('Fp1', 'F7')",1.662796429584152e-20,-0.8740910794376753,0.8740910794376753,0.6461495389242295,-1.021534900514879,0.13,0.3920088874976371,-1.0020685773580935,0.294,0.19242347180373762,-0.9834589954323376,0.534,0.02846563241617427,-0.9571774543806892,0.888,0.003156640141439252,-0.9390369829659344,0.99,1.215064372214376e-05,-0.9220043093440212,1.0,alpha2
"('Fp2', 'Fz')",3.00902072024559e-20,-0.8685622399237735,0.8685622399237735,0.6074638503406066,-1.0381853295992614,0.174,0.37743073663916815,-1.020551704531491,0.354,0.23350179395583318,-0.9855267027415058,0.558,0.053485920302424064,-0.9641142535523914,0.826,0.0102473267920027,-0.9277592788019842,0.966,2.7918800426133732e-05,-0.9121204530777476,1.0,alpha2
