,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fz', 'F4')",0.0,-1.0726213542428353,1.0726213542428353,0.06044439999999995,-1.1972654799519236,0.722,0.016751800000000008,-1.1400238614035993,0.918,0.003987199999999993,-1.1381850793001356,0.986,0.0001270000000000001,-1.116003822111115,1.0,2.0000000000000005e-05,-1.088818407991314,1.0,0.0,-1.0765659157608582,1.0,alpha2
"('F3', 'Fz')",0.0,-1.0208255487976952,1.0208255487976952,0.0722172,-1.222691678302166,0.734,0.029649400000000013,-1.1575812693990455,0.872,0.007212800000000003,-1.1487863984448896,0.962,0.0004655999999999997,-1.12932256644473,1.0,0.00010840000000000002,-1.089105548231083,1.0,2.0000000000000002e-07,-1.0825599103435022,1.0,alpha2
"('F7', 'Fz')",0.0,-1.0141722286771335,1.0141722286771335,0.10140520000000007,-1.1709189867896093,0.656,0.04123799999999998,-1.1232772988461068,0.846,0.0177294,-1.087254573038402,0.92,0.0019809999999999967,-1.0626404306962924,0.986,0.00011059999999999999,-1.0467626281780005,1.0,4.0000000000000003e-07,-1.0260314077990993,1.0,alpha2
"('Fp1', 'Fz')",0.0,-1.006336279959503,1.006336279959503,0.07842360000000002,-1.1148403897328019,0.674,0.021791200000000007,-1.0785958885645912,0.88,0.007152800000000005,-1.060668081880761,0.968,0.0005034000000000001,-1.0531089938274034,1.0,2.16e-05,-1.0320724235189989,1.0,0.0,-1.0196151548893324,1.0,alpha2
"('Fp1', 'F3')",0.0,-0.9604613121517296,0.9604613121517296,0.069829,-1.1698812399851632,0.698,0.019091000000000007,-1.118216187195586,0.898,0.0057702000000000074,-1.095139678450268,0.982,0.0004481999999999999,-1.0790544215318243,1.0,2.000000000000001e-05,-1.0366446545302932,1.0,0.0,-1.0207530945181031,1.0,alpha2
"('Fp1', 'F7')",0.0,-0.936482084630273,0.936482084630273,0.13495879999999996,-1.0674181339988444,0.534,0.06585039999999998,-1.010586765284531,0.74,0.02474959999999999,-0.9691650610871239,0.88,0.003966999999999989,-0.943503495609874,0.988,0.00029020000000000006,-0.9394168032388999,1.0,2.0000000000000003e-06,-0.9184828557425355,1.0,alpha2
"('F3', 'F4')",0.0,-0.9180671379888858,0.9180671379888858,0.1599508,-1.0491527022724048,0.506,0.0793816000000001,-1.000392189513259,0.734,0.026832199999999994,-1.0002816876236236,0.886,0.002869999999999995,-0.9944286650745655,0.98,0.0004375999999999997,-0.9498008227881486,1.0,1.6000000000000004e-06,-0.9392493093572832,1.0,alpha2
"('Fp1', 'F4')",0.0,-0.9056169698074097,0.9056169698074097,0.19580879999999998,-1.0182988612635933,0.456,0.10814280000000008,-0.9764178022437037,0.666,0.052929799999999964,-0.9540849333902298,0.796,0.006518400000000005,-0.9367451829048906,0.968,0.0008931999999999995,-0.9131999044533085,0.998,6.6e-06,-0.8993922248766125,1.0,alpha2
"('F7', 'F4')",0.0,-0.8739094081398344,0.8739094081398344,0.24892719999999993,-0.9605346774143595,0.402,0.13630260000000022,-0.9187211632798855,0.58,0.08626380000000003,-0.8821319141618754,0.734,0.019004599999999993,-0.8880014947272554,0.934,0.0026481999999999964,-0.8602551440814201,0.982,1.84e-05,-0.8577237438638703,1.0,alpha2
"('F7', 'F3')",0.0,-0.8731631578711117,0.8731631578711117,0.11969400000000008,-1.1325559378981358,0.56,0.048807599999999965,-1.0787686463909398,0.782,0.020349200000000005,-1.0362648835618167,0.91,0.002226599999999994,-0.9942153282785067,0.996,0.00019900000000000023,-0.9689783422407027,1.0,1e-06,-0.94842198747075,1.0,alpha2
