,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fz', 'F4')",0.0,-1.0704906808507655,1.0704906808507655,0.01661051999999999,-1.1977708989271871,0.906,0.0038950399999999994,-1.1560290744344413,0.986,0.00130244,-1.1485155530066515,0.994,3.3359999999999925e-05,-1.111922168466485,1.0,1.800000000000001e-06,-1.0952759951055262,1.0,0.0,-1.072513203895657,1.0,alpha2
"('F3', 'Fz')",0.0,-1.0645120641805041,1.0645120641805041,0.029005319999999987,-1.204779608039638,0.854,0.00767936000000001,-1.1814903337983256,0.956,0.0020941600000000016,-1.1521031597932885,0.99,0.00017800000000000007,-1.1211442666359765,1.0,3.6800000000000016e-06,-1.091037355557094,1.0,0.0,-1.0938206503173393,1.0,alpha2
"('Fp1', 'Fz')",0.0,-1.0163475427119393,1.0163475427119393,0.020967759999999988,-1.1138748302375672,0.87,0.006564319999999998,-1.0996858570972274,0.978,0.0013687599999999992,-1.0728742575986772,0.998,0.00015775999999999995,-1.0528250058773942,1.0,1.3600000000000009e-05,-1.0277559298830672,1.0,4e-08,-1.0094635423425797,1.0,alpha2
"('F7', 'Fz')",0.0,-1.0005817959897862,1.0005817959897862,0.027282879999999992,-1.1743514451382413,0.86,0.010324640000000001,-1.15475599377138,0.954,0.00470892,-1.0885490191040008,0.972,0.00034899999999999997,-1.0773563530415682,1.0,2.9959999999999988e-05,-1.0485861060550505,1.0,1.2e-07,-1.0242179162699232,1.0,alpha2
"('Fp1', 'F3')",0.0,-0.9362082704755211,0.9362082704755211,0.021611880000000007,-1.1449661408090392,0.866,0.0062241599999999985,-1.1425726218060352,0.976,0.0011607200000000005,-1.1020397484189988,1.0,0.00018387999999999993,-1.073008197160361,1.0,4.200000000000003e-06,-1.035492070177179,1.0,0.0,-1.0235272693122992,1.0,alpha2
"('F3', 'F4')",0.0,-0.9207957111191918,0.9207957111191918,0.05722855999999996,-1.041088077776312,0.748,0.018241800000000002,-1.0308492802349805,0.89,0.0075600400000000074,-1.0039283330430775,0.962,0.0007746000000000008,-0.976024192369997,0.998,4.395999999999994e-05,-0.9538320839128734,1.0,1.6e-07,-0.9464306870280655,1.0,alpha2
"('Fp1', 'F7')",0.0,-0.9141569185680375,0.9141569185680375,0.04093708000000001,-1.0638034901949254,0.79,0.015855360000000016,-1.0235265089958,0.91,0.008300640000000012,-0.97327884222582,0.956,0.0007418399999999999,-0.9419865504885299,1.0,7.907999999999987e-05,-0.9228814241215461,1.0,3.1999999999999995e-07,-0.9094829625198775,1.0,alpha2
"('Fp1', 'F4')",0.0,-0.9048524675375645,0.9048524675375645,0.07140783999999997,-1.0015793597463138,0.676,0.030154079999999982,-0.9711693451936599,0.826,0.010845520000000011,-0.9620578164099436,0.93,0.0017362000000000018,-0.9463654138755223,0.996,0.00024676000000000006,-0.9143375232793944,1.0,7.599999999999999e-07,-0.8858206762360465,1.0,alpha2
"('Fp2', 'Fz')",0.0,-0.896242436432358,0.896242436432358,0.04839971999999997,-1.045784751768067,0.744,0.019903160000000017,-1.0242034694568891,0.89,0.00820328,-0.98617557975287,0.964,0.000993680000000001,-0.9699302282434864,0.998,0.00014119999999999994,-0.9426025906682505,1.0,4.8e-07,-0.9165359719500983,1.0,alpha2
"('F7', 'F3')",0.0,-0.883172227575584,0.883172227575584,0.02830968,-1.1095317749283318,0.802,0.01059252000000001,-1.081666231931333,0.944,0.004659520000000002,-1.0415417101785742,0.978,0.0004510000000000002,-0.9984979798657887,1.0,3.555999999999995e-05,-0.9628338764747181,1.0,8e-08,-0.9427187926183498,1.0,alpha2
